"r no ","ACCESSION_NO","LANG_CODE","పుస్తకం పేరు ","బుక్ నేమ్ ","రచయిత ","పబ్లిషర్ ","PLACE_OF_PUB","PAGINATION","ITEM_RUPEES","YEAR_OF_PUB"
"16473","37807","TEL","ధర్మ చక్రము ","DHARMA CHAKRAMU","విశ్వనాథ సత్యనారాయణ SATYANARAYANA VISWANADHA","VSN  AND CO","VIJAYAWADA","894.827312","200","6"
"16475","37809","TEL","ధర్మ దర్శిని ","DHARMA DARSHINI","SATYANARAYANAMURTHY AKONDI","RACHAITA","RAJAHMUNDRY","294.54","20","2"
"16476","3781","TEL","ధర్మదీక్ష ","DHARMA DEEKSHA","KONDACHARYULU MUDIVARTI","VADLAMUDI RAMAIAH","NELLURU","294.2270","39","2.5"
"16480","37813","TEL","ధర్మ దుధాభి ","DHARMA DUDHABHI","SRINIVASALU PANCHALU","K EDDIRAPPA","ANANTAPURAM","894.082715","66","0.5"
"16497","37829","TEL","ధర్మ జీవనము ","DHARMA JEEVANAMU","కామరాజు హనుమంతరావు KAMARAJU HANUMANTA RAO","PRAK PRATHICHI GRANDHALAMALA","RAJHAMUNDRY","080.954","52","1"
"16498","3783","TEL","ధర్మ జ్యోతి","DHARMA JYOTHI","కొర్లపాటి శ్రీరామమూర్తి శ్రీరామమూర్తి SRIRAMAMURTHI KORLAPATI","GANGADHARA PUBLICATIONS","VIJAYAWADA","894.82721","152","3"
"16502","37833","TEL","ధర్మ జ్యోతి ","DHARMA JYOTHI","PRAKASARAYUDU TALLPRAGADA","DHARMA JYOTHI PRACHURANA","HYDERABAD","808.84","135","10"
"16507","37838","TEL","ధర్మ క్షేత్రం ","DHARMA KSHETRAM","వాసిరెడ్డి సీతాదేవి SITADEVI VASIREDDY","NAVAJYOTHI PUBLICATIONS","VIJAYAWADA","894.827","178","6"
"16509","3784","TEL","ధర్మ లహరి ","DHARMA LAHARI","MANIKYA SARMA PRATAPAGIRI","P MANIKYA SHARMA","KARNOOL","294.504","216","40"
"16511","37841","TEL","ధర్మ లక్ష్మణము ","DHARMA LAKSHMANAMU","LAKSHMINARSIMHAM NUJJILLA","SAMSKRUTI PUBLICATIONS","JAGGAMPETA","294.954","68","1.25"
"16512","37842","TEL","ధర్మ మంజరి (మనుమార్గ దక్ర్పు దర్శిని","DHARMA MANJARI (MANUMARGA DIKRUDARSHINI)","PURUSHOTAMU JATAVALBULA","JATAVALLABHULA PURUSHOTTAM","KOVVURU","294.548","96","120"
"16514","37844","TEL","ధర్మ మూర్తి ","DHARMA MURTHY","KAMALA KASTURI","ANANTA LAKSHMI PUBLICATIONS","VIJAYAWADA","894.82732","79","6.5"
"16515","37845","TEL","ధర్మ నిర్ణయం ","DHARMA NIRNAYAM","RAMALINGఈశ్వరరావు ESWARARAO TUMMALAPALLI","VAVILLA RAMASWAMY","మద్రాస్","894.827312","306","5"
"16516","37846","TEL","ధర్మ పదము ","DHARMA PADAMU","ఆనంద్ మోహన్ ANAND MOHAN","SRI VYASASHRAMAMU","YERPEDU","294.34","128","1"
"16517","3785","TEL","ధర్మ పాలుడు ","DHARMA PALUDU","SATYANARAYANASASTRI VEDHULA","ANDHRA PRACHARINI LIMITED","RAMACHANDRAPURAM","894.827","334","8"
"16518","3786","TEL","ధర్మ పుత్రుడు ","DHARMA PUTRUDU","కామరాజు హనుమంతరావు KAMARAJU HANUMANTA RAO","MANAVA SEVA GRANDHAMALA","RAJAHMAHENDRAVARAM","891.73","24","1"
"16520","3788","TEL","ధర్మరాజు ","DHARMA RAJU","RAMAGOPALA KAMBAMPATI","SRI SAILAJA  PUBLICATION","VIJAYA WADA","894.82732","56","5"
"16521","3789","TEL","ధర్మ సాధన ","DHARMA SADHANA","చలం CHALAM","ARUNA PUBLICATIONS","GUNTUR","294.548","142","3.5"
"16522","3790","TEL","ధర్మ సందేహాలు ","DHARMA SANDEHALU","USHASRI","BHARATHA PRACHURANALU","VIJAYA WADA","080","95","10"
"16523","3791","TEL","ధర్మసింహాసనం ","DHARMA SIMHASANAM","SAMBASIVARAO KADALI","VANI PUBLICATIONS","VIJAYAWADA","894.82731","168","14"
"16526","37915","TEL","ధర్మ సూక్ష్మలు ","DHARMA SOOKSHMALU","CH SATHIBABU","WORLD TEACHER TRUST","VISAKHAPATANAM","894.8275","56","0.75"
"16528","37917","TEL","ధర్మ వడ్డీ","DHARMA VADDI","GOPI CHAND","PALLAVI PUBLICAIONS","VIJAYAWADA","894.82732","436","30"
"16531","3792","TEL","ధర్మ విప్లవం ","DHARMA VIPLAVAM","దత్తా రమేష్ చంద్ర RAMESACHANDRA DATTA","ARUNA PRACHURANA","BEJAWADA","891.443","122","1.4"
"16534","37922","TEL","ధర్మగ్లాని ","DHARMAGLANI","AYYAVARU TBM","BRUNDAVAN PUBLISHING HOUSE","TENALI","894.827312","268","8"
"16538","37926","TEL","ధర్మజ్ఞ చరిత్ర ","DHARMAJNA CHARITRA","భూపాల రఘునాథ RAGHUNADHA BHUPALA","ANDHRA VIGNANA SAMITHI","VIJAYANAGARAM","894.827431","91","1"
"16540","37928","TEL","ధర్మజ్యోతి ","DHARMAJYOTHI","కొర్లపాటి శ్రీరామమూర్తి శ్రీరామమూర్తి SRIRAMAMURTHI KORLAPATI","GANGADHARA PUBLICATIONS","VIJAYAWADA","894.82721","152","3"
"16541","37929","TEL","ధర్మకర్తృ త్వం సిద్దాంతం ","DHARMAKARTHARUTHVAM SIDDANTHAM","KESAVARAO UMOTHALA","ANDHRA PRADESH BHARATHA SEVA SAMAJ PRACHURANALU","HYDERABAD","923.25","100","1"
"16542","3793","TEL","ధర్మం దగా ","DHARMAM DAGA","SWAMI DAS B","SRI KRANTHI BOOK HOUSE","VIJAYAWADA","894.827233","28","6"
"16543","37930","TEL","ధర్మాన్ని విడువకు ","DHARMANNI VIDUVAKU","PURNA CHANDRARAO A","RANJANI PUBLICATIONS","MACHILIPATNAM","894.82732","32","9.9"
"16545","37932","TEL","ధర్మపధంలో జీవనరధం ","DHARMAPADHUMLO JEEVANAరాధా RADHAM","MOULANA SAIYAD ABDUL ALAMOUDUDI","TELUGU ISLAAMIC PUBLICATIONS","HYDERABAD 2","297","93","10"
"16546","37933","TEL","ధర్మపాల విజయము ","DHARMAPALA VIJAYAMU","VENKATA SUBBARAO KOSURU","RACHAITA","TENALI","929","133","20"
"16549","37936","TEL","ధర్మపీటం కదిలింది ","DHARMAPEETAM KADILINDI","OBULREDDY G","G OBULAREDDY","CHILAMAKURTHI","894.8271","62","25"
"16553","3794","TEL","ధర్మరాజు ","DHARMARAAJU","కె.వెంకటాచార్యులు VENKATAACHAARYULU K","SRI SATYANARAYANA  BOOK DEPO","RAJAMANDRY","294.5923","150","1"
"16554","37940","TEL","ధర్మశాస్త్ర ","DHARMASASTRA","MALLIKHARJUNARAO ARISINAPALLI","AYYAPPA PUBLICATIONS","KHAMMAM","894.82731","163","15"
"16555","37941","TEL","ధర్మవరం తాలూకా జనపడగేయాలు ","DHARMAVARAM TELUKA JANAPADA  GEYALU","KRISHNA REDDY CHIGICHARLA","JANAPADA KALA BHARATHI","ANANTAPURAM","398","162","30"
"16564","3795","TEL","ధర్మోద్ధరణ ","DHARMIDHARANA","రాధా RADHAKRISHNAN S AND RAJU P T","ORIENTLAJMANS","MUMBAI","894.827201","132","1.45"
"16565","37950","TEL","ధార్మికరాముడు కిష్కిందకాండ","DHARMIKA RAMUDU KISHKINDAKANDA","GOVINDACHARYA ATMAKURI","ATMAKURI GANDHI","SECUNDERABAD","894.82711","156","15"
"16566","37951","TEL","ధార్మిక విప్లవము ","DHARMIKA VIPLVAMU","SITARAMAYYA GUNTUPALLI","NAMMALVARS","మద్రాస్","080.954","71","0.6"
"16568","37953","TEL","ధర్శ ధర్శని ","DHARSA DHARSANI","SATYANARAYAMURTHI AAKANDI","RACHAYITA","RAJAMANDRY","181.486","20","2"
"16569","37954","TEL","ధర్శనలు నిదర్శనలు ","DHARSANALU NIDHARSANALU","KRISHNASWAMY MOPIDEVI","THE WORLD TEACHER TRUST","AMALAPURAM","181.4","61","3"
"16581","37965","TEL","ధర్య జీవి ","DHARYA JEEVI","చిలుకూరి లక్ష్మిపతి శాస్త్రి LAXMIPATHI SASTRI CHILUKURI","SIVARANJANI PUBLICATIONS","RAMADRI","894.827132","41","1"
"16587","37970","TEL","ధాతు గూడ కోశహ ","DHATHU GUDA KOSHA","చర్ల గణపతిశాస్త్రి GANAPATHI SASTRI CHARLA","CHARLA  MRUDULA KUMARI","VISHAKAPATNAM","894.503","45","20"
"16589","37972","TEL","ధాతు రత్నావళి ","DHATHU RATNAVALI","KRISHNARAO VAIYAKARANA","VAVILLA RAMASWAMY PRACHAURANA","CHENNAPURI","894.8275","248","2.2"
"16590","37973","TEL","ధాత్రి ","DHATRI","అనంతపంతుల రామలింగస్వామి RAMALINGASWAMY ANANTAPANTHULU","RACHAITA","PARVATHIPURAM","894.8271","57","1.5"
"16593","37976","TEL","ధీరజ మానూ విరాజతము","DHEERAJA MANOO VIRAAJATAMU","LINGAMURTHI KAPALAVAAYUHARI","AGYAOGULAXMANAACHAARYULU","HYDEARABAD","954.84","172","20"
"16595","37978","TEL","ధీర్ఘ రోగ చికిత్స సారము ","DHEERGA ROGA CHIKITSA SARAMU","VENKATA KRISHNA A","VIMAL PUBLICATIONS","VIJAYAWADA","616","123","14"
"16596","37979","TEL","ధైవమిచ్చినా భార్య","DHEIVAMICHHINA BHARYA","చలం CHALAM","M SESHACAHALAM AND CO","SECENDRABAD","894.827313","168","2"
"16603","37985","TEL","ధికారం ","DHIKARAM","SUBRAMANYAM CHALLA","MADHUPRIYA PUBLICATION","V IJAYAWADA","894.82731","368","45"
"16605","37987","TEL","ధిక్కారం ","DHIKKARAM","SUBRAMANYAM CHALLA","MADHUPRIYA PUBLICATIONS","VIJAYAWADA 4","894.82731","368","45"
"16606","37988","TEL","దినచర్య","DHINACAHRYA","SESHAGIRIRAO DEVARAKONDA","RACAHITA","KAKINADA","391.3","106","6"
"16609","37990","TEL","ధోడ్డ ధోర","DHODDA DHORA","జమ్మల మడక JAMMALA MADAKA","VIJAYANDRA PRACHURANALU","GUDIVADA","894.827213","112","1.5"
"16613","37994","TEL","ధర్మచక్రం ","DHRAMACHAKRAM","నండూరి రామకృష్ణామాచార్య RAMAKRISHNAMACHARYA నండూరి NANDURI","TRIVENI PUBLISHERS","MACHIIPATNAM","894.827212","84","2"
"16615","37996","TEL","ధర్మ పుత్రుడు ","DHRMA PUTRUDU","కామరాజు హనుమంతరావు KAMARAJU HANUMANTA RAO","PRAK PRATHICHI GRANDHALAMALA","RAJAHMUNDRY","891.73","40","1"
"16618","37999","TEL","ధ్రువతార","DHRUVATHAARA","రావినూతల శ్రీరాములు SRIRAMULU RAVINUTALA","ABHINAVA PRACHURANALU","HYDEARABAD","923.65484","55","75"
"16620","38000","TEL","ధూమ పాయి శతకం ","DHUMA PAYI SATAKAM","BANAGARYYA P","ANATHALASKHMI PUBLICATIONS","TURPU GODAVARI ZILLA","894.82715","28","3"
"16621","38001","TEL","ధూమకేతు ","DHUMAKETHU","SYAMBABAU","VIJAYALAXMI PUBLICATIONS","VIJAYAWADA","894.82731","236","20"
"16623","38003","TEL","ధుర విద్యా ప్రాంతీయ భాషల అభివృధి ","DHURA VIDYA PRANTHIYA BHASHALA ABHIVRUDHI","RAMANA KS","MANJULA PUBLICATION","HYDERABAD","133.54","142","65"
"16624","38004","TEL","ధూర్జటి ","DHURJATI","నోరి నరసింహశాస్త్రి NARASIMHASASTRI NORI","JAYANTHI  PUBLICATIONS","VIJAYA WADA","894.8287312","391","25"
"16627","38007","TEL","ధూర్జటి వంశ కవులు సాహిత్య సేవా ","DHURJATI VAMSA KAVULU SAHITYA SEVA","KANTALAKSHMI IV","DR IV KANTALAKSHMI","HYDERABAD","928.9482708","179","75"
"16629","38009","TEL","ధూర్తయనమ్","DHURTHAYANAM","MURAARI","VISALANDRA PUBLCATIONS HUSE","VIJAYAWADA","894.827167","60","1"
"16630","3801","TEL","ధూష్టునకుదూరంగా వుండు ","DHUSHTUNAKU DURAMGA VUNDU","PURNACHANDRA RAO CH","RANJANI PUBLICATIONS","MACHILIPATNAM","894.8732","32","10"
"16634","38013","TEL","ధూత మేఘము","DHUTHA MEGHAMU","SATYANNARAYANA VISWANADHA","M SESHACAHALAM AND CO","SECENDRABAD","894.827313","248","2"
"16636","38015","TEL","ధవన  పుష్పం ","DHVANA PUSHPAM","KRISHNAMUTHI JIDDU","నవోదయ, విజయవాడ BOOK  HOUSE","HYDRABAD","158.12","100","35"
"16638","38017","TEL","ధ్వని ప్రపంచంలో అద్భుత విశేషాలు ","DHVANI PRAPANCHAMLO ADBHUTHA VISESHALU","SRINIVAS P","SUSMITHA PUBLICATIONS","VIJAYA WADA","621.3893","96","45"
"16639","38018","TEL","ధ్యాన మంజరి ","DHYANA MANJARI","వేటూరి ప్రభాకరశాస్త్రి PRABHAKARASASTRI VETURI","RACHANA SAKETASHAKAM","LANKALA  KODERU","894.82714","290","25"
"16641","3802","TEL","ధ్యానయోగము ","DHYANAYOGAMU","భాగవతుల లక్ష్మినరసమ్మ LAXMINARASAMMA BHAGAVATHULA","BHAGAVATALA SEETARAMAYYA","AKIRIPALLI","294.543","63","0.4"
"16644","38022","TEL","ధ్యానపద్దతి ","DHYANPADDATHI","VENKATA NARASAYYA KUNDURTHI","SADHANA GRANDHA MANDALI","TENALI","294","58","0.8"
"16646","38024","TEL","ధ్యేయం ","DHYEYAM","VERENDERNADHE YANDAMURI","NAVASAHITHA BOOK HOUSE","VIJAYAWADA 002","894.82731","306","40"
"16649","38027","TEL","డయాబెటీస్ ","DIABETIS","GUMMADI JOSAPH","GUMMADI PUUBLICATIONS","SICENDRABAD","616.462","261","75"
"16652","3803","TEL","గిద్దలూరు మండల ప్రజల ఇంటిపేర్లు గోత్రాలు బాషాసామాజికపరిశీలన ","DIDDALURU MANDALA PRAJALU INTI PERLU GOTRALU BASHA SAMAJIKA PARISEELANA","VEERAMREDDY GOPALAREDDY DR","RAMA PUBLISHERS","PRAKASAM DISTRICT","894.827072","400","75"
"16654","38031","TEL","దిద్దుబాటు ","DIDDUBATU","VARADACHARI G S","RACHANA JOURNALISM COLLEGE","HYDERA BAD","070.4","184","70"
"16657","38034","TEL","దిగంబర కవులు ","DIGAMBARA KAVULU","NAGNAMUNI","CENTRAL SAINT","HYDERABAD","813.91","180","2"
"16658","38035","TEL","దిగంతం ","DIGANTHAM","VENUGOPAL KASIBATLA","VAHINI BOOK TRUST","HYDEABAD","894.827313","106","40"
"16664","38040","TEL","దిగవలసిన రైలు కథల సంపుటి ","DIGAVALASINA RAILU KATHALA SAMPUTI","DAKSHINAMURTHY ESUKAPALLI","MAITREYAKATHA SAHITHI","HYDERABAD","894.827323","143","6"
"16668","38044","TEL","దిగిన మెట్లు ","DIGINA METLU","LINGARAJU KANDUKURI","NAVA JYOTHI  PUBLICATIONS","VIJAYAWADA","894.827313","184","4"
"16671","38047","TEL","దిక్కమైన నీలల వేమన పాధ్యాలు ","DIKKAMAINA NELALA వేమన VEMANA PADHYALU","RAJఈశ్వరరావు ESWARARAO C","PRATHIBHA VIGNANA","HYDERA BAD","894.8271","378","90"
"16676","38051","TEL","దిక్సూచి ","DIKSUCHI","PANDURANGARAO VAKATI","SAMALOCHANA PRACHURANA","HYDERA BAD","894.8275","96","15"
"16678","38053","TEL","దిలాస్ట్ బ్రాహ్మిన్","DILAAST BRAHMIN","SIVASANKARA SHARMA RANI","RACHAITA","GUNTURU","305.5","241","240"
"16679","38054","TEL","దీనబాంధవులు ","DINABANDHAVULU","NAMA SIVAYA GUDURI","GANDHI SAHITYA PRACHURANAALAYAM","HYDERABAD","923.65484","58","4"
"16683","38058","TEL","దినచర్య ","DINACHARYA","శేష SHESHAGIRIRAO DEVARAKONDA","RACHAITA","KAKINADA","294.548","106","6"
"16684","38059","TEL","దినచర్య (1 వ భాగం )","DINACHARYA (1VA BHAGAMU)","వెంకటశాస్త్రి VENKATASASTRI MASUNURI","VISHWA BHARATHI PRACHURANALAYAM","RAAJAMAGENDHARAVARAM","294.3401","119","1.25"
"16686","38060","TEL","దినచర్య భారతీయ సంస్కృతి ","DINACHARYA BHARATIYA SAMSKRUTI","వెంకటశాస్త్రి VENKATASASTRI MUSUNURI","RACHAITA","RAJAHMUNDRY","294.5401","104","5"
"16691","3807","TEL","దినోగరియా నుండి వ్య్దలగండి ","DINOGARIYA NUNDI VYDALAGANDI","PATTABIRAMARAVU PARAKALA","VISALANDRA BOOK HOUSE","VIJAYAWADA","327","136","8"
"16692","3808","TEL","దింస్టెడ్ లోపల మనిషి ","DINSTED LOPALA MANISHI","NARASIMHAMU PV","EMESCO","VIJAYAWADA","894.827312","752","300"
"16701","38091","TEL","దిశ వివినమూర్తి కథలు ","DISA VIVINAMURTHI KATHALU","VIVINA MURTHY","V SRI RAM","RAMACHANDRAPURAM","894.8273208","128","40"
"16705","3811","TEL","దిటవు గుండెలు ","DITAVUGUNDELU","ఉప్పల లక్ష్మణరావు LAKSHMANARAO VUPPALA","PRAGATHI","HYDERABAD","900","242","30"
"16709","38116","TEL","దివానకము ","DIVANAKAMU","పార్తీ కృష్ణ శాస్త్రి కాకర KRISHNA SASTSRI KAKARA PARTI","KAKARAPARTI బాపన్న శాస్త్రి BAPANNA SASTRI GANJAMVARI VEEDHI","KAKINADA","894.8271","65","2"
"16710","38117","TEL","దివ్వటీలు ","DIVVATEELU","పైడిపాటి సుబ్బరామశాస్త్రి సుబ్బరామశాస్త్రి SUBBARAMASASTRI PAIDIPATI","BHARATI NIKETAN","VIJAYAWADA","894.827132","29","0.75"
"16711","38118","TEL","దివ్వెలు ","DIVVELU","JYOTIRMAYI BANERJEE","RACHAITA","HYDERABAD","894.827167","40","2.5"
"16713","3812","TEL","దివ్య భజన సంగ్రహము ","DIVYA BHAJAVA SANGRAHAMU","శ్రీ శివానందజీ సరస్వతి SRI SIVANANDAJEE SARASWATHI","DIVYA JEEVANA SANGHAMU","HIMALAYA","294.543","168","3"
"16716","38122","TEL","దివ్య భారతి ","DIVYA BHARATHI","SUVARNAKANNAN RAVINUTALA","CHAITANYA PUBLICATIONS","VIJAYAWADA 2","894.82731","296","40"
"16717","38123","TEL","దివ్య దీపం ","DIVYA DEEPAM","KRISHNAREDDY MARRI","NAVAYUGA DISTRIBUTORES","HYDERABAD","167","80","6"
"16718","38124","TEL","దివ్య దీపావళి ","DIVYA DEEPAVALI","AREKAPUDI KOUSALYA DEVI","NAVAJYOTHI PUBLICATIONS","VIJAYAWADA","894.827","212","7.5"
"16719","38125","TEL","దివ్య దృష్టి ","DIVYA DRUSHTI","RADHEYA","SAMSKRUTI SAMAKHYA","KADAPA","894.82719","139","6"
"16722","38128","TEL","దివ్యజ్ఞాన దీపిక అనిబిసెంట్ ","DIVYA GNANA DIPIKA ANIBISENT","SRI RAMAచంద్రం CHANDRAMURTHY KOM","VENKATRAMA AND CO","VIJAYAWADA","894.82792294581","121","2"
"16724","3813","TEL","దివ్యజ్ఞాన తారక రాజయోగి తల్లాప్రగడ సుబ్బారావు జీవితం   తత్వదర్శనం ","DIVYA GNANA TARAKA RAJAYOGI TALLAPRAGADA SUBBARAO JIVITAM TATVADARSANAM","SRI VIRINCHI","DR N RANGANATHA DESIKA","BANGALORU","181","218","150"
"16726","38131","TEL","దివ్య జీవనము ","DIVYA JEEVANAMU","SIVANANDA","YOGAVEDANTA ARANYA VISWAVIDYALAYAM","HRUSHIKESHAM","181.4","344","3"
"16731","38136","TEL","దివ్య ఖుర్ ఆన ","DIVYA KHUR AANA","MOULANASYAD ABULALAMOUDURI","TELUGU ESLAMIC PUBLICATIONS","HYDERA BAD","297.122794827","816","50"
"16733","38138","TEL","దివ్య ఖుర్ ఆన్ ","DIVYA KHURAN","MOULANA SAIYAD ABDUL ALAMOUDUDI","TELUGU ISLAMIC PUBLICATIONS","HYDERABAD","297.122","849","270"
"16735","3814","TEL","దివ్య పరిష్వంగము","DIVYA PARISHVANGAMU","RAMASOMAYAJULU BAMIDIPAATI","RACHAITA","NELLORE","894.827132","193","9"
"16736","38140","TEL","దివ్య సందేశం ","DIVYA SANDESAM","SANTHI NIDHI","రాధా RADHASWAMY SATHASANGAMU","AMRUTHSAR","181.442","63","2"
"16737","38141","TEL","దివ్య సందేశము ","DIVYA SANDESAMU","SAMBASIVARAMAMURTHY MUSUNURI","RACHIATA","RAMACHANDRAPURAM","894.82717","58","5"
"16738","38142","TEL","దివ్య స్మృతి ","DIVYA SMRUTHI","VENKATALAXMIనృసింహ NRUSIMHARAJU NUKARAJU","ARTHUMURU","TURPU GODAVARI","894.827130","32","1"
"16741","38145","TEL","దివ్య స్మృతులు ","DIVYA SMRUTULU","కొండవీటి వెంకటకవి VENKATA KAVI KONDAVEETI","KAVIRAJU GRANDAMALA","TENALI","894.827132","92","1.5"
"16745","38149","TEL","దివ్య సూరి కధశరము ","DIVYA SURI KADHASARAMU","RAMANUJA DASUDU","GODA GRANDA MALA","MUSUNURU","294","172","12"
"16746","3815","TEL","దివ్య సూరికథ సారము ","DIVYA SURI KADHASARAMU","SRI RAMANUJADASUDU","GODA GRANDA MALA","MUSUNURU","294.56","172","12"
"16747","38150","TEL","దివ్య వాణి","DIVYA VANI","BHASKARA సి.రామమూర్తి RAMAMURTHY CHANDRABHATLA","CH BHASKARAMURTHY","RAJAHMUNDRY","294","22","0.5"
"16749","38152","TEL","దివ్యజ్ఞానము ","DIVYAGNANAMU","ANIBISENTAMMA","DIVYA GNANA CHANDRIKA MANDALI","BEJAVADA","299.934","32","0.6"
"16752","38155","TEL","దివ్యమూలిక విజ్ఞాన దీపిక","DIVYAMULIKA VIGANANA DEEPIKA","SURYARAO VARADA","ADDEPALLI  AND CO","RAJA MAHENDRAVARAMU","615.535","210","10"
"16753","38156","TEL","దివ్యవాణి ","DIVYAVANI","చిలుకూరి సూర్యనారాయణ SURYANARAYANA CHILUKURI","C MEENAKSHI","RAJANAGARAM","294.53","360","20"
"16755","38158","TEL","దివ్య వాణి పత్రిక సర్వజిత్యం వత్సర సిద్దాంత పంచాంగము ","DIVYAVANI PATRIKA SARVAJITYAM VATSARA SIDDANTA PANCHANGAMU","CHIVUKULA VENKATARAMANASASTRI","RAMA BOOK DEPOT","SECUNDERABAD","133.55","50","0.5"
"16757","3816","TEL","డియర్ ","DIYAR","రామమోహన్ RAMAMOHANRAO SURYADEVARA","NAVA JYOTHI PUBLICATIONS","VIJAYA WADA","894.82731","208","20"
"16758","38160","TEL","డాక్టర్ అనీ బిసెంటు ","DOCTOR ANNEI BESANT","గుంటూరు వెంకటసుబ్బారావు VENKATA SUBBARAO GUNTURU","DIVYA GNANA CHANDRIKA MANDALI","BEJAWADA","922.999","279","3"
"16763","38168","TEL","డాక్టర్ సిఆర్ రెడ్డి ","DOCTOR CR REDDY","VENKATASUBAYYA GORREPATI","DESI KAVITA MANDALI","VIJAYAWADA","923.754","291","7.5"
"16765","3817","TEL","డాక్టర్ గారి డైరీ ","DOCTOR GARI DAIRY","పి.దక్షిణమూర్తి DAKSHINAMURTHI P","CHAIITANYA PUBLISHING HOUSE","TENALI","894.82713","129","7"
"16766","38170","TEL","డాక్టర్ హెడ్గేవార్ ","DOCTOR HEDGEWAR","SAHASTRA BUDDE","SAHITYA NIKETAN","HYDERABAD","923.254","104","4"
"16769","3820","TEL","డాక్టర్ ఐ లోవే యూ ","DOCTOR I LOVE U","కె.రామలక్ష్మి RAMALAXMI K","VIJAYALAXMI PUBLICATIONS","VIJAYAWADA","894.82731","400","20"
"16771","3822","TEL","డాక్టర్ కథ","DOCTOR KATHA","SURYANARAYAMURTHI CHAGANTI","VISALANDRA PRACHRANALAYAM","VIJAYAWADA","894.827313","140","2.25"
"16773","38221","TEL","డాక్టర్ ఖాన్ శోధరులు","DOCTOR KHAN SODHARULU","మల్లాది లక్ష్మినరసింహశాస్త్రి MALLADI LAKSHMINARASIMHASASTRI","KONDAPALLI  VEERA VENKAYYA AND CO","RAJAHAMANDRY","894.827923254","64","0.75"
"16774","38222","TEL","డాక్టర్ కొట్నస్ నీవన జ్వాల","DOCTOR KOTNAS NEEVANA JWAALA","KADIYALA AMARASUNDAR","DOCTOR KOTNEES MEMORIAL COMMITTEE","GUNTUR","894.82792617","128","5"
"16775","38223","TEL","డాక్టర్ కృష్ణ హసన్ ","DOCTOR KRISHNA HASAN","SANDYADEVI  R","PALLAVI PUBLICATION","VIJAYA WADA","894.82731","232","17"
"16776","38224","TEL","డాక్టర్ కృష్ణమోహన్ ","DOCTOR KRISHNAMOHAN","ఆర్.సంధ్యాదేవి SANDYADEVI RANI","VAHINI PRACHURANALU","VIJAYAWADA","894.827","244","12"
"16779","38227","TEL","డాక్టర్ లేనిచోట ","DOCTOR LENICHOTA","RAGHAVARAO NALLURI","SARASWATHI PUBLICATIONS","VIJAYAWADA","616.0252","438","125"
"16782","38230","TEL","డాక్టర్ మహర్షి ","DOCTOR MAHARSHI","కె.విజయలక్ష్మి VIJAYALAXMI K","MAHALAXMI BOOK ENTERPRISES","VIJAYAWADA","894.827","192","10"
"16783","38231","TEL","డాక్టర్ పట్టాభి ","DOCTOR PATTABHI","మల్లాది లక్ష్మినరసింహశాస్త్రి MALLADI LAKSHMINARASIMHASASTRI","KONDAPALLI  VEERA VENKAYYA AND CO","RAJAHAMANDRY","894.827923254","66","0.62"
"16784","38232","TEL","డాక్టర్ పట్టాభి (జీవిత చరిత్ర )","DOCTOR PATTABHI (JEEVITHA CHARITRA)","మల్లాది లక్ష్మినరసింహశాస్త్రి LAKSHMINARASIMHASASTRI MALLADHI","KONDAPALLI VEERA VENKAYYA  AND SONS","RAJAHMUNDRY","894.827923254","66","0.62"
"16789","3825","TEL","డాక్టర్ రాజేంద్రప్రసాద్ ఆత్మకథ (సంక్షిప్తం)","DOCTOR RAJENDRAPRASAD ATMAKATHA (SANKSHIPTAM)","దాసిక సూర్యప్రకాశరావు SURYAPRAKASARAO DASIKA","DHAKSHINA BHARATA HINDI PRACHARA SABHA","HYDERABAD","894.827923","171","2.5"
"16793","3826","TEL","డాక్టర్ సుచిత్రాదేవి","DOCTOR SUCHITRADEVI","ఆర్.సంధ్యాదేవి SANDHYADEVI R","DELUX  PUBLICATIONS","VIJAYAWADA","894.82731","264","20"
"16795","3828","TEL","డాక్టర్ సురేఖ ","DOCTOR SUREKHA","BHARATKUMAR","RAJESWARI PUBLICATION","VIJAYAWADA","894.827","226","7"
"16799","3830","TEL","డాక్టర్ తనుజా ","DOCTOR TANUJA","VIJAYALAKSHMI KURUMADDALI","GURU PUQ","VIJAYA WADA","894.82731","248","20"
"16800","3831","TEL","డాక్టర్ తేజశ్వి ","DOCTOR THEJASWI","విశ్వప్రసాద్ VISWAPRASAD","J P  PUBLICATIONS","VIJAYAWADA 3","894.82731","276","36"
"16801","3832","TEL","డాక్టర్ త్రిశంకం ","DOCTOR TRISANKAM","AALURI","RACHAITA","HYDERABAD","894.82723","31","2.5"
"16805","38325","TEL","డాక్టర్ వనజ ","DOCTOR VANAJA","లక్కరాజు సీత SEETA LAKKARAJU","NAGESWARI  PUBLICATION","VIJAYAWADA","894.827","200","9"
"16810","3833","TEL","డాక్టర్ వి లవ్ యు ","DOCTOR WE LOVE YOU","RAMALAKSHMI K","NAVABHARAT PUBLICATIONS","VIJAYAWADA","894.827","332","12.5"
"16818","38337","TEL","డాక్టర్ రాధా కృష్ణన్ ","DOCTOR రాధా RADHAKRISHNAN","రామకృష్ణమాచార్యులు RAMAKRISHNAMACHARYULU STPV","VENKATRA MA AND CO","VIJAYA VADA","894.827921954","108","2"
